Product Code,Product Name,Short Description ,List Price
SVL-EXM-SIM-BK56-1Y,1-Year EssentialCare ,for FlexModule Plus SIM Injector,$509.00
SVL-EXM-SIM-BK56-2Y,2-Year EssentialCare ,for FlexModule Plus SIM Injector,$989.00
ECP-EXM-SIM-BK56-1Y,1-Year EssentialCare+,for FlexModule Plus SIM Injector,$749.00
ECP-EXM-SIM-BK56-2Y,2-Year EssentialCare+,for FlexModule Plus SIM Injector,"$1,273.00"
ECP-EXM-SIM-BK56-4Y,4-Year EssentialCare+,for FlexModule Plus SIM Injector,"$2,097.00"
SVL-EXM-2X5G-1Y,1-Year EssentialCare ,for FlexModule Plus 2x 5G,$359.00
SVL-EXM-2X5G-2Y,2-Year EssentialCare ,for FlexModule Plus 2x 5G,$659.00
ECP-EXM-2X5G-1Y,1-Year EssentialCare+,for FlexModule Plus 2x 5G,$469.00
ECP-EXM-2X5G-2Y,2-Year EssentialCare+,for FlexModule Plus 2x 5G,$797.00
ECP-EXM-2X5G-4Y,4-Year EssentialCare+,for FlexModule Plus 2x 5G,"$1,313.00"
<EXM Licenses & Warranties (click the + to open),,,
Peplink X Series Modular SD-WAN Platforms,,,
BPL-310X-LTEA-R-T,BPL 310X CAT 12 (FirstNet Certified),Enterprise SD-WAN router for Medium Branches (FirstNet Certified),"$2,899.00"
BPL-310X-GLTE-S-T,BPL 310X CAT 20,Enterprise SD-WAN router for Medium Branches,"$2,999.00"
BPL-310X-5GH-T,Balance 310X 5G (FirstNet Certified),Advanced 5G Wireless SD-WAN Router (FirstNet Certified),"$3,999.00"
ECP-BPL-310X-LTEA-1Y,1-Year EssentialCare+,"For Balance 310X (Cat 12  / Cat 20)  - includes IC2, 24/7 email support, and AHR",$719.00
ECP-BPL-310X-LTEA-2Y,2-Year EssentialCare+,"For Balance 310X (Cat 12  / Cat 20)  - includes IC2, 24/7 email support, and AHR","$1,222.00"
ECP-BPL-310X-LTEA-4Y,4-Year EssentialCare+,"For Balance 310X (Cat 12  / Cat 20)  - includes IC2, 24/7 email support, and AHR","$2,013.00"
SVL-321 ,1-Year EssentialCare ,for Balance 310X (Cat 12 / Cat 20) - includes IC2 subscription,$499.00
SVL-923 ,2-Year EssentialCare ,for Balance 310X (Cat 12 / Cat 20) - includes IC2 subscription,$959.00
ECP-BPL-310X-5G-1Y,1-Year EssentialCare+,"for Balance 310X (5G) - includes IC2, 24/7 email ticket support, and AHR",$969.00
ECP-BPL-310X-5G-2Y,2-Year EssentialCare+,"for Balance 310X (5G) - includes IC2, 24/7 email ticket support, and AHR","$1,647.00"
